LocationName,Coronary heart disease among adults,Current asthma among adults,Depression among adults,Diagnosed diabetes among adults,Fair or poor self-rated health status among adults,Frequent mental distress among adults,High blood pressure among adults,No leisure-time physical activity among adults,Obesity among adults,Stroke among adults,longitude,latitude,temperature,temp_norm,Current asthma among adults_norm,Coronary heart disease among adults_norm,Diagnosed diabetes among adults_norm,Obesity among adults_norm,High blood pressure among adults_norm,Frequent mental distress among adults_norm,No leisure-time physical activity among adults_norm,heat_health_risk
4013040527,10.3,9.9,17.0,14.1,18.7,11.8,43.8,21.5,28.1,5.0,-112.4265743,33.6463218,109.7,0.0,0.21818181818181837,0.6590909090909092,0.656934306569343,0.29559748427672977,0.6883116883116882,0.2848101265822785,0.35408560311284043,0.394626492015701
4013040523,12.4,9.3,14.4,16.2,17.4,8.2,52.1,20.3,25.6,5.7,-112.3477585,33.6907356,109.7,0.0,0.10909090909090935,0.8181818181818181,0.8102189781021897,0.13836477987421403,0.9038961038961039,0.05696202531645566,0.3073929961089494,0.39301345132133
4013061049,4.3,9.9,18.1,9.5,15.7,14.4,27.7,18.1,30.8,2.4,-112.4009683,33.4282146,111.5,0.9473684210526343,0.21818181818181837,0.2045454545454545,0.32116788321167883,0.4654088050314467,0.2701298701298701,0.44936708860759494,0.2217898832684825,0.38724490300362263
4013061029,7.1,10.6,19.5,11.8,19.0,15.2,35.1,21.8,31.2,3.8,-112.3506834,33.6311855,109.7,0.0,0.3454545454545455,0.41666666666666663,0.48905109489051096,0.49056603773584917,0.4623376623376624,0.49999999999999994,0.3657587548638132,0.383729345243631
4013061045,5.9,10.3,18.8,10.7,15.9,13.9,32.6,18.0,30.2,3.1,-112.422807,33.5300157,110.8,0.5789473684210522,0.2909090909090912,0.3257575757575758,0.4087591240875912,0.42767295597484284,0.3974025974025974,0.4177215189873418,0.21789883268482488,0.3831336330281147
4013061041,4.4,10.8,20.5,10.0,22.0,18.5,27.0,24.4,34.1,2.6,-112.329193,33.601576,109.7,0.0,0.38181818181818206,0.21212121212121213,0.35766423357664234,0.6729559748427675,0.2519480519480519,0.7088607594936708,0.4669260700389104,0.3815368104799296
4013040513,13.5,8.9,13.5,16.0,17.6,7.6,53.3,21.1,23.8,6.1,-112.3658563,33.6746354,109.7,0.0,0.036363636363636556,0.9015151515151515,0.7956204379562043,0.025157232704402652,0.935064935064935,0.018987341772151885,0.33852140077821014,0.38140376701933654
4013061013,4.6,10.2,18.8,10.1,17.6,15.6,28.4,20.1,31.2,2.6,-112.3261467,33.5013997,110.8,0.5789473684210522,0.2727272727272727,0.2272727272727272,0.36496350364963503,0.49056603773584917,0.28831168831168824,0.5253164556962026,0.29961089494163423,0.3809644935945077
4013060802,4.9,10.7,20.4,10.1,21.4,18.0,28.2,24.1,33.3,2.8,-112.3143932,33.6197635,109.7,0.0,0.36363636363636365,0.25,0.36496350364963503,0.6226415094339622,0.2831168831168831,0.6772151898734177,0.45525291828793774,0.37710329599977493
4013030402,7.8,9.8,17.2,11.9,14.3,10.9,39.3,16.3,27.3,3.8,-111.938807,33.8615277,110.9,0.6315789473684253,0.20000000000000026,0.4696969696969696,0.49635036496350365,0.2452830188679247,0.5714285714285713,0.2278481012658228,0.1517509727626459,0.37424211829423293
4013040529,13.6,8.7,13.3,16.0,17.3,7.3,53.7,20.6,23.4,6.1,-112.3937125,33.6641908,109.7,0.0,0.0,0.9090909090909091,0.7956204379562043,0.0,0.9454545454545455,0.0,0.3190661478599222,0.37115400504519763
4013061020,4.5,10.0,18.0,9.2,14.6,13.7,28.2,16.7,28.8,2.5,-112.3677102,33.4857395,111.6,1.0,0.2363636363636365,0.21969696969696967,0.2992700729927007,0.3396226415094341,0.2831168831168831,0.40506329113924044,0.1673151750972762,0.3688060837395176
4013061027,5.6,11.0,20.9,10.5,18.3,16.8,31.2,20.4,32.1,3.1,-112.4017435,33.6314831,109.7,0.0,0.4181818181818183,0.303030303030303,0.39416058394160586,0.5471698113207549,0.361038961038961,0.6012658227848101,0.3112840466926069,0.3670164183738575
4013040516,9.4,9.9,16.8,14.2,16.6,10.7,44.2,18.7,28.2,4.5,-112.7240487,33.6767067,109.7,0.0,0.21818181818181837,0.5909090909090909,0.6642335766423357,0.30188679245283023,0.6987012987012987,0.21518987341772147,0.24513618677042795,0.3667798296344404
4013030401,8.9,9.4,16.0,12.6,13.7,9.4,42.4,15.4,25.9,4.1,-111.9168671,33.8175437,110.9,0.6315789473684253,0.12727272727272745,0.5530303030303031,0.5474452554744526,0.15723270440251574,0.6519480519480519,0.1329113924050633,0.11673151750972761,0.3647688624264084
4013061010,5.7,9.7,17.7,9.8,13.4,12.2,32.1,15.5,27.3,2.9,-112.3594703,33.4989522,111.6,1.0,0.18181818181818182,0.31060606060606055,0.34306569343065696,0.2452830188679247,0.38441558441558443,0.31012658227848094,0.12062256809338519,0.36199221118878433
4013040534,11.1,9.3,14.9,15.4,15.5,8.1,50.0,17.6,26.2,5.0,-112.331158,33.7377243,109.7,0.0,0.10909090909090935,0.7196969696969696,0.7518248175182481,0.17610062893081768,0.8493506493506494,0.05063291139240505,0.20233463035019458,0.35737893954127425
4013061056,3.8,10.0,18.9,8.2,13.6,14.6,25.9,15.5,29.3,2.1,-112.4517571,33.488963,111.6,1.0,0.2363636363636365,0.16666666666666663,0.22627737226277367,0.37106918238993725,0.2233766233766233,0.46202531645569617,0.12062256809338519,0.3508001707010898
4013061051,3.8,9.6,17.5,8.4,14.3,14.4,25.7,17.4,29.1,2.2,-112.4181311,33.4429158,111.6,1.0,0.1636363636363637,0.16666666666666663,0.24087591240875916,0.35849056603773605,0.21818181818181814,0.44936708860759494,0.1945525291828793,0.3489713680902272
4013060901,4.2,10.7,20.5,9.2,20.2,18.1,26.0,22.6,33.1,2.5,-112.3341975,33.6182651,109.7,0.0,0.36363636363636365,0.19696969696969696,0.2992700729927007,0.6100628930817612,0.22597402597402597,0.6835443037974683,0.3968871595330739,0.3470430644981363
4013061028,6.2,10.5,19.7,10.3,18.2,16.0,31.7,21.3,30.2,3.4,-112.3676149,33.6344581,109.7,0.0,0.3272727272727274,0.34848484848484845,0.3795620437956205,0.42767295597484284,0.374025974025974,0.550632911392405,0.3463035019455253,0.3442443703614929
4013061038,4.9,10.8,20.7,9.8,18.4,16.7,29.2,20.3,32.4,2.8,-112.3850313,33.5876988,109.7,0.0,0.38181818181818206,0.25,0.34306569343065696,0.5660377358490567,0.309090909090909,0.5949367088607593,0.3073929961089494,0.3440427781448142
4013061011,4.1,10.1,18.5,9.1,16.5,15.3,26.4,19.0,30.1,2.4,-112.3264989,33.5323577,110.8,0.5789473684210522,0.25454545454545463,0.18939393939393934,0.291970802919708,0.4213836477987424,0.2363636363636363,0.5063291139240506,0.25680933852140075,0.341967912735998
4013040539,6.4,10.5,19.8,10.9,17.1,14.9,33.6,19.3,30.4,3.3,-112.5381576,33.8643039,109.7,0.0,0.3272727272727274,0.36363636363636365,0.4233576642335767,0.44025157232704404,0.4233766233766234,0.4810126582278481,0.26848249027237353,0.34092376241831956
4013061055,4.7,10.1,18.3,9.4,15.9,14.5,28.4,18.3,28.9,2.6,-112.3984667,33.5006201,110.8,0.5789473684210522,0.25454545454545463,0.23484848484848483,0.31386861313868614,0.3459119496855346,0.28831168831168824,0.45569620253164556,0.22957198443579765,0.337712718239793
4013050618,4.3,9.9,18.8,8.1,12.6,13.7,27.0,14.5,28.2,2.2,-112.5029196,33.4838138,111.6,1.0,0.21818181818181837,0.2045454545454545,0.218978102189781,0.30188679245283023,0.2519480519480519,0.40506329113924044,0.08171206225680931,0.3352894465892482
4013040540,5.6,10.3,19.8,10.2,18.1,15.9,29.8,20.4,30.9,3.0,-112.4962657,33.6917028,109.7,0.0,0.2909090909090912,0.303030303030303,0.37226277372262767,0.47169811320754723,0.3246753246753247,0.5443037974683544,0.3112840466926069,0.32727043121323185
4013061021,3.7,9.4,17.0,8.7,14.0,13.6,25.5,16.9,27.6,2.1,-112.3482487,33.4847062,111.6,1.0,0.12727272727272745,0.1590909090909091,0.2627737226277372,0.26415094339622663,0.21298701298701297,0.39873417721518983,0.17509727626459134,0.3250133461067993
4013061043,4.3,10.1,19.2,9.8,19.0,16.5,26.7,21.6,32.7,2.5,-112.333106,33.5727973,109.7,0.0,0.25454545454545463,0.2045454545454545,0.34306569343065696,0.5849056603773588,0.24415584415584413,0.5822784810126581,0.35797665369649806,0.3214341552204907
4013061040,4.4,10.4,19.5,9.7,18.7,16.6,27.2,21.1,31.7,2.5,-112.3378089,33.6019505,109.7,0.0,0.3090909090909093,0.21212121212121213,0.33576642335766416,0.5220125786163523,0.2571428571428571,0.5886075949367089,0.33852140077821014,0.32040787200548926
4013061035,5.0,10.5,19.9,9.7,16.7,16.2,29.4,19.4,30.8,2.8,-112.3507002,33.6163866,109.7,0.0,0.3272727272727274,0.25757575757575757,0.33576642335766416,0.4654088050314467,0.3142857142857142,0.5632911392405062,0.27237354085603105,0.31699676345248096
4013050620,3.9,10.2,19.3,8.1,14.2,15.0,26.1,16.5,29.5,2.2,-112.5780922,33.5419142,110.8,0.5789473684210522,0.2727272727272727,0.17424242424242423,0.218978102189781,0.3836477987421385,0.2285714285714286,0.4873417721518987,0.15953307392996105,0.31299865512199465
4013060903,3.8,10.0,18.8,9.3,19.6,16.9,24.8,22.8,32.5,2.2,-112.3203341,33.60171,109.7,0.0,0.2363636363636365,0.16666666666666663,0.3065693430656935,0.5723270440251573,0.19480519480519481,0.6075949367088606,0.40466926070038906,0.31112451029194976
4013061026,5.7,10.5,19.8,9.6,16.4,15.5,30.4,19.0,29.5,3.0,-112.4181095,33.6315885,109.7,0.0,0.3272727272727274,0.31060606060606055,0.3284671532846715,0.3836477987421385,0.3402597402597402,0.5189873417721518,0.25680933852140075,0.30825627005736134
4013061044,4.6,10.6,20.4,9.2,16.2,16.2,28.4,18.5,31.3,2.6,-112.4016614,33.5627619,109.7,0.0,0.3454545454545455,0.2272727272727272,0.2992700729927007,0.49685534591194985,0.28831168831168824,0.5632911392405062,0.2373540856031128,0.30722620059840383
4013061033,4.8,10.6,20.4,9.3,16.4,16.2,28.5,18.6,30.6,2.7,-112.3839564,33.6117732,109.7,0.0,0.3454545454545455,0.24242424242424238,0.3065693430656935,0.4528301886792455,0.2909090909090909,0.5632911392405062,0.24124513618677043,0.3053404607450118
4013061032,4.6,10.6,20.4,9.1,16.6,16.5,28.0,18.9,30.7,2.6,-112.40273,33.6183909,109.7,0.0,0.3454545454545455,0.2272727272727272,0.291970802919708,0.459119496855346,0.2779220779220779,0.5822784810126581,0.25291828793774307,0.3046170524218507
4013061047,4.0,9.8,17.5,9.0,13.8,13.8,27.2,16.4,28.3,2.3,-112.3503455,33.5133669,110.8,0.5789473684210522,0.20000000000000026,0.1818181818181818,0.2846715328467153,0.30817610062893097,0.2571428571428571,0.41139240506329117,0.15564202334630342,0.2972238086584165
